"V1" "V2" "V3" "V4"
"1" 3.2908120242094e-20 0 0 2.52924717367847e-29
"2" 0 2.93317385720658e-27 4.48056270604815e-20 1.07109994379163e-13
"3" 0 2.38332494147332e-27 3.70650276835503e-20 1.48306843736797e-13
"4" 0 5.45667258516637e-27 3.70650276835503e-20 5.362168623607e-13
"5" 0 2.93317385720658e-27 3.70650276835503e-20 1.7440488888789e-13
"6" 0 3.60866670623887e-27 3.06503175197143e-20 2.82930072037082e-13
"7" 0 1.24263164240784e-26 4.48056270604815e-20 4.57291099561336e-13
"8" 0 8.56046708271748e-25 2.4287565534987e-19 6.47869442886872e-12
"9" 0 1.1207235514103e-24 7.99850041929423e-18 2.07524658298868e-13
"10" 0 2.44053923087403e-16 2.78517478671654e-16 1.50967758527325e-12
"11" 0 1.2121077071478e-16 1.78593945636466e-17 5.72659291423813e-12
"12" 0 8.5221180069727e-17 1.23060750760528e-18 2.07109822623134e-11
"13" 0 2.93413543336331e-17 2.92563099603715e-15 4.00570937979057e-13
"14" 0 1.86145426703975e-18 2.18433988928372e-16 1.0213495568126e-10
"15" 0 3.95282306750822e-11 5.86209288839336e-13 6.00511869817039e-08
"16" 0 2.66004461455504e-13 6.7243193201806e-09 2.40285802533954e-07
"17" 0 1.02510747444665e-09 1.45085889669394e-11 1.03347989919504e-06
"18" 0 2.83293257926512e-11 1.6083027440452e-11 2.15204809050216e-07
"19" 0.00142437263072012 1.853791405186e-268 5.89253067021656e-108 4.95730790555669e-19
"20" 9.57971948116649e-268 2.85173312462195e-08 1.63599019071314e-09 2.07577107435152e-06
"21" 5.39086483497283e-214 2.75083270423796e-07 9.01313064404485e-05 0.000240473305434553
"22" 7.3679803841724e-213 7.96108027266474e-06 5.37361475159688e-08 1.72968062318404e-05
"23" 1.59634180905634e-202 9.38104347023451e-06 6.63590325051321e-11 0.00260333056454328
"24" 6.49715894557262e-198 3.96422892690903e-05 2.04420576671153e-09 0.00706250449009772
"25" 0.00208688332080507 9.99422009846329e-182 1.82539208275767e-80 2.21135448262387e-12
"26" 7.13097042357822e-21 1.81391487587376e-10 2.35687135214355e-31 4.84943564518707e-179
"27" 1.18295385411329e-16 1.01050042593745e-171 4.85857438274939e-103 8.39102876926755e-07
"28" 2.84018063272796e-163 3.67195435934312e-05 2.73010473563371e-06 0.00165802020042859
"29" 0.0111747335511916 2.10647211701176e-162 1.02651182240678e-110 0.745108646464013
"30" 0.306785203479621 1.50551913422255e-161 6.34760330377758e-77 0.841992734224905
"31" 0.0160430134731213 2.1806748342251e-161 1.36555990411376e-110 0.682759473602711
"32" 0.0211098313376015 2.24104225041669e-160 3.12000151805643e-109 0.758664393658493
"33" 0.0197338919245597 3.12422351256509e-160 2.41544173020917e-110 0.694278733282262
"34" 0.0144251893669954 6.06920448850892e-160 7.2995261014701e-109 0.696129612950918
"35" 0.0178093129129387 8.4572543824744e-160 4.26977843543014e-110 0.691441876690573
"36" 2.53188404896681e-17 1.27780236628586e-08 5.73544781460105e-28 2.75641777002875e-158
"37" 0.0124826304444246 1.31997935586724e-157 7.71521237982064e-111 0.631956676013608
"38" 8.06566727128464e-157 0.000490303627844707 0.00316780075564957 0.00972282323560492
"39" 7.02476528313905e-156 0.0107542425164816 0.000437608595926392 0.00550416526973909
"40" 4.66762492178227e-08 3.59443653449159e-148 2.15166001740348e-102 3.6825708369125e-05
"41" 1.37713300509428e-147 3.41533171520324e-05 0.00195620163070051 0.00810359400267587
"42" 0.048102533457238 4.85219257146621e-145 2.30744866821661e-94 0.662929063823429
"43" 4.7748912986608e-24 4.45495883288691e-08 1.68430545512234e-16 1.51589624775449e-144
"44" 7.81885230897336e-25 3.69293967781823e-09 3.1340735033921e-17 1.67154522568765e-144
"45" 8.45917073034112e-24 1.2141376277214e-08 1.49729839613529e-17 1.90846068328312e-142
"46" 1.31781485905006e-22 5.51835575928949e-08 1.26460417311118e-16 1.91257847485431e-141
"47" 0.0369784490661224 8.39853675825484e-141 6.00078759256974e-91 0.647516543475865
"48" 1.0127850247439e-140 8.25531490039788e-06 3.11251535018421e-05 0.0432726690490676
"49" 9.05193130859518e-23 5.98303882435263e-08 1.22987102845148e-17 7.38008502151621e-141
"50" 1.76516335839749e-23 1.72065983914711e-08 1.88190849149641e-17 2.35250165438457e-140
"51" 1.5815297378929e-23 3.02021516713439e-08 1.37802673887481e-16 3.08446261348142e-140
"52" 5.32346619624386e-22 2.72091032048238e-07 2.24094212680191e-16 2.86908603725813e-136
"53" 9.95653305980334e-21 2.93749667217657e-05 1.67495010085557e-14 1.93933199411858e-125
"54" 2.23766078405139e-18 1.42530969203615e-05 4.15590731224925e-13 2.23377355362149e-122
"55" 5.26750234298651e-07 3.8463592106983e-119 4.4543025126289e-70 0.403522355846867
"56" 4.38287865185439e-20 0.000620872965027152 4.86032772928118e-10 4.21731304837826e-118
"57" 7.99395436252503e-21 0.00158905070455569 2.70695488019545e-09 1.70633574357085e-117
"58" 0.148276417304301 0.0256920572944654 4.99448996822989e-16 2.35918274680712e-117
"59" 9.30150984456525e-10 2.95195799752409e-116 2.18517979198304e-79 1.16952422594536e-08
"60" 7.91384462121261e-19 8.15740682458908e-05 1.06198553132098e-11 1.71453529945131e-115
"61" 2.34531901188655e-06 1.14889381476437e-114 3.3260320510104e-68 0.31511412147452
"62" 2.85352282667173e-06 2.44564917680464e-114 6.13036266005606e-68 0.348201562687026
"63" 1.2998671874339e-06 2.72888262541388e-114 8.44916778544058e-68 0.383977231191867
"64" 6.28714626413003e-114 0.762855959221887 1.59719271050578e-34 1.22427745068084e-08
"65" 6.39990769534788e-23 3.99020111601176e-09 4.43825207444539e-22 4.17417564227227e-114
"66" 5.50323062865409e-06 5.27805706303483e-113 2.07530230279944e-67 0.274149176995309
"67" 4.52693660674931e-21 4.8088516453465e-09 8.02091617881916e-21 1.71209337018278e-110
"68" 8.2839531177258e-21 8.99279129743967e-09 2.92839311453757e-21 4.59370331525533e-110
"69" 6.65108274427143e-20 1.30249845338157e-07 1.16582667652879e-19 5.28179867742992e-110
"70" 5.8326938837124e-18 0.000106520207130632 3.77184811544539e-12 9.62234364546632e-110
"71" 2.74326629881588e-109 0.830674405729306 1.71598402055529e-28 5.67180611816396e-06
"72" 6.52021581816597e-22 5.24430966288579e-08 1.8849519157092e-19 2.87799080125526e-109
"73" 1.06730977221582e-107 0.762225291055662 1.91854022114971e-30 2.52536898866358e-06
"74" 3.97112349658225e-21 2.92528359507829e-08 3.53296054212765e-20 6.61841016140114e-108
"75" 1.16746133079275e-18 2.02469585390975e-07 3.86784608555745e-20 1.02553746074586e-107
"76" 2.71946656392886e-19 1.08837705278137e-07 1.05315061973989e-19 1.02553746074586e-107
"77" 3.47704912109711e-107 0.815433153309415 1.77085667097816e-30 1.35099667971454e-18
"78" 4.87054170895265e-21 3.10895062593673e-08 5.81061428169677e-20 1.34093408053668e-107
"79" 6.61050547006794e-21 3.96267551977752e-08 7.82236539753783e-20 1.34093408053668e-107
"80" 1.43062852684714e-19 6.16256660552651e-09 1.83633173284351e-19 1.96368581931436e-107
